,"Amplicon 73
[21889-22247]

AY.4.2

21995C,22227T","Amplicon 72
[21561-21904]

BA.1

21762T,Δ21765-21770,21846T","Amplicon 73
[21889-22247]

BA.1

Δ21987-21995,Δ22194-22196","Amplicon 75
[22428-22785]

BA.1

22578A,22673→CTC,22679C,22686T","Amplicon 76
[22677-23028]

BA.1

22679C,22686T,22813T,22882G,22898A,22992A,22995A,23013C","Amplicon 77
[22974-23327]

BA.1

22992A,22995A,23013C,23040G,23048A,23055G,23063T,23075C,23202A","Amplicon 80
[23876-24233]

BA.1

23948T,24130A","Amplicon 81
[24194-24545]

BA.1

24424T,24469A,24503T","Amplicon 78
[23246-23611]

BA.1,BA.2

23403G,23525T,23599G,23604A","Amplicon 79
[23575-23927]

BA.1,BA.2

23599G,23604A,23854A","Amplicon 94
[28021-28394]

BA.1,BA.2

28311T,Δ28362-28370","Amplicon 95
[28214-28572]

BA.1,BA.2

28311T,Δ28362-28370","Amplicon 14
[4018-4387]

BA.2

4184A,4321T","Amplicon 31
[9192-9535]

BA.2

9344T,9424G,9534T","Amplicon 33
[9805-10150]

BA.2

9866T,10029T","Amplicon 34
[10099-10465]

BA.2

10198T,10447A,10449A","Amplicon 35
[10419-10785]

BA.2

10447A,10449A","Amplicon 43
[12856-13218]

BA.2

12880T,13195C","Amplicon 66
[19836-20186]

BA.2

19955T,20055G","Amplicon 71
[21316-21675]

BA.2

21618T,Δ21633-21641","Amplicon 72
[21561-21904]

BA.2

21618T,Δ21633-21641","Amplicon 73
[21889-22247]

BA.2

Δ21987-21995,22200G","Amplicon 75
[22428-22785]

BA.2

22578A,22674T,22679C,22686T,22688G,22775A","Amplicon 76
[22677-23028]

BA.2

22679C,22686T,22688G,22775A,22786T,22813T,22882G,22992A,22995A,23013C","Amplicon 77
[22974-23327]

BA.2

22992A,22995A,23013C,23040G,23055G,23063T,23075C","Amplicon 81
[24194-24545]

BA.2

24424T,24469A","Amplicon 87
[25979-26338]

BA.2

26060T,26270T","Amplicon 89
[26587-26956]

BA.2

26709A,26858T","Amplicon 91
[27177-27534]

BA.2

27259C,27382→CTC","Amplicon 77
[22974-23327]

B.1.1.7 (alpha)

23063T,23271A","Amplicon 78
[23246-23611]

B.1.1.7 (alpha)

23271A,23604A","Amplicon 79
[23575-23927]

B.1.1.7 (alpha)

23604A,23709T","Amplicon 93
[27726-28082]

B.1.1.7 (alpha)

27972T,28048T","Amplicon 94
[28021-28394]

B.1.1.7 (alpha)

28048T,28111G,28280→CTA","Amplicon 29
[8619-8990]

B.1.351 (beta)

8660T,8964T","Amplicon 72
[21561-21904]

B.1.351 (beta)

21614T,21801C","Amplicon 74
[22113-22474]

B.1.351 (beta)

22206G,22299T","Amplicon 76
[22677-23028]

B.1.351 (beta)

22813T,23012A","Amplicon 72
[21561-21904]

C.36.3

21597T,Δ21765-21770","Amplicon 78
[23246-23611]

B.1

23403G","Amplicon 76
[22677-23028]

AY.4.2,B.1.617.2 (delta)

22917G,22995A","Amplicon 92
[27473-27826]

AY.4.2,B.1.617.2 (delta)

27638C,27752T","Amplicon 77
[22974-23327]

B.1.351 (beta),P.1 (gamma)

23012A,23063T","Amplicon 71
[21316-21675]

P.1 (gamma)

21614T,21621A,21638T","Amplicon 72
[21561-21904]

P.1 (gamma)

21614T,21621A,21638T","Amplicon 73
[21889-22247]

P.1 (gamma)

21974T,22132T","Amplicon 76
[22677-23028]

P.1 (gamma)

22812C,23012A","Amplicon 96
[28536-28893]

P.1 (gamma)

28877T,28878C","Amplicon 97
[28849-29206]

P.1 (gamma)

28877T,28878C","Amplicon 76
[22677-23028]

B.1.617.3,B.1.617.1 (kappa)

22917G,23012C","Amplicon 93
[27726-28082]

B.1.621

27925A,28005T","Amplicon 82
[24448-24814]

BA.1,BA.1

24469A,24503T","Amplicon 88
[26277-26635]

BA.1,BA.1

26530G,26577G","Amplicon 76
[22677-23028]

BA.1

22679C,22898A","Amplicon 77
[22974-23327]

BA.1

23048A,23202A","Amplicon 81
[24194-24545]

BA.1

24469A,24503T","Amplicon 31
[9192-9535]

BA.2

9424G,9534T","Amplicon 34
[10099-10465]

BA.2

10198T,10447A","Amplicon 75
[22428-22785]

BA.2

22679C,22688G,22775A","Amplicon 76
[22677-23028]

BA.2

22679C,22688G,22775A,22786C"
SRR17786783.fastq.bam,"0 / 1400
0.00%","0 / 79
0.00%","1371 / 1400
97.93%","0 / 6
0.00%","497 / 505
98.42%","512 / 533
96.06%","0 / 484
0.00%","813 / 842
96.56%","1883 / 1907
98.74%","1 / 84
1.19%","0 / 0
NA","1430 / 1471
97.21%","0 / 1195
0.00%","0 / 152
0.00%","0 / 794
0.00%","0 / 2128
0.00%","0 / 14
0.00%","0 / 4
0.00%","0 / 2432
0.00%","0 / 0
NA","0 / 76
0.00%","1371 / 1400
97.93%","0 / 6
0.00%","0 / 1
0.00%","514 / 533
96.44%","827 / 842
98.22%","0 / 77
0.00%","122 / 310
39.35%","0 / 87
0.00%","528 / 539
97.96%","0 / 1404
0.00%","0 / 82
0.00%","0 / 69
0.00%","0 / 128
0.00%","0 / 106
0.00%","0 / 79
0.00%","0 / 15
0.00%","901 / 914
98.58%","56 / 79
70.89%","3295 / 3305
99.70%","5 / 505
0.99%","0 / 60
0.00%","0 / 533
0.00%","0 / 0
NA","0 / 76
0.00%","0 / 460
0.00%","1 / 914
0.11%","0 / 0
NA","15 / 1661
0.90%","12 / 1453
0.83%","0 / 68
0.00%","0 / 0
NA","0 / 367
0.00%","1429 / 1447
98.76%","532 / 539
98.70%","815 / 842
96.79%","0 / 153
0.00%","5 / 2129
0.23%","0 / 6
0.00%","0 / 1
0.00%"
SRR17786784.fastq.bam,"0 / 7
0.00%","0 / 14
0.00%","7 / 7
100.00%","0 / 0
NA","165 / 165
100.00%","1 / 16
6.25%","1 / 1
100.00%","172 / 472
36.44%","870 / 1406
61.88%","0 / 0
NA","219 / 223
98.21%","1303 / 1322
98.56%","0 / 565
0.00%","0 / 88
0.00%","0 / 278
0.00%","0 / 4806
0.00%","0 / 19
0.00%","0 / 0
NA","745 / 5088
14.64%","0 / 0
NA","0 / 2
0.00%","7 / 7
100.00%","0 / 0
NA","0 / 165
0.00%","0 / 0
NA","469 / 472
99.36%","0 / 0
NA","9 / 363
2.48%","0 / 14
0.00%","0 / 1
0.00%","1 / 548
0.18%","0 / 2
0.00%","0 / 0
NA","0 / 53
0.00%","0 / 111
0.00%","0 / 0
NA","0 / 0
NA","165 / 166
99.40%","0 / 0
NA","1960 / 1965
99.75%","0 / 166
0.00%","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 2
0.00%","0 / 7
0.00%","0 / 166
0.00%","0 / 0
NA","0 / 1367
0.00%","0 / 166
0.00%","0 / 0
NA","0 / 0
NA","0 / 0
NA","166 / 166
100.00%","1 / 16
6.25%","172 / 472
36.44%","0 / 89
0.00%","7 / 4806
0.15%","0 / 0
NA","0 / 166
0.00%"
SRR17786785.fastq.bam,"0 / 310
0.00%","0 / 19
0.00%","239 / 310
77.10%","0 / 24
0.00%","134 / 136
98.53%","138 / 138
100.00%","0 / 234
0.00%","538 / 756
71.16%","1706 / 2334
73.09%","2 / 1504
0.13%","60 / 77
77.92%","988 / 1292
76.47%","0 / 952
0.00%","0 / 83
0.00%","0 / 882
0.00%","0 / 9217
0.00%","0 / 9
0.00%","0 / 0
NA","0 / 5504
0.00%","0 / 0
NA","0 / 17
0.00%","239 / 310
77.10%","0 / 24
0.00%","0 / 116
0.00%","138 / 138
100.00%","539 / 756
71.30%","0 / 28
0.00%","57 / 276
20.65%","0 / 54
0.00%","138 / 139
99.28%","5 / 1692
0.30%","0 / 1504
0.00%","0 / 15
0.00%","0 / 63
0.00%","0 / 66
0.00%","0 / 20
0.00%","0 / 50
0.00%","116 / 116
100.00%","19 / 19
100.00%","4165 / 4177
99.71%","0 / 136
0.00%","0 / 5
0.00%","0 / 138
0.00%","0 / 0
NA","0 / 17
0.00%","0 / 77
0.00%","0 / 116
0.00%","0 / 1
0.00%","0 / 937
0.00%","0 / 256
0.00%","0 / 15
0.00%","0 / 0
NA","0 / 34
0.00%","255 / 256
99.61%","138 / 140
98.57%","539 / 756
71.30%","0 / 83
0.00%","7 / 9218
0.08%","0 / 24
0.00%","0 / 116
0.00%"
SRR17786786.fastq.bam,"0 / 239
0.00%","0 / 8
0.00%","219 / 239
91.63%","0 / 0
NA","213 / 216
98.61%","221 / 224
98.66%","0 / 119
0.00%","1246 / 1297
96.07%","3138 / 3258
96.32%","0 / 952
0.00%","2 / 2
100.00%","2730 / 2815
96.98%","0 / 1110
0.00%","0 / 25
0.00%","1 / 520
0.19%","0 / 7972
0.00%","0 / 21
0.00%","1 / 1
100.00%","0 / 3262
0.00%","0 / 0
NA","0 / 1
0.00%","219 / 239
91.63%","0 / 0
NA","0 / 379
0.00%","222 / 224
99.11%","1249 / 1297
96.30%","0 / 5
0.00%","54 / 445
12.13%","0 / 72
0.00%","224 / 226
99.12%","5 / 1746
0.29%","0 / 949
0.00%","1 / 140
0.71%","0 / 94
0.00%","0 / 88
0.00%","0 / 0
NA","0 / 1
0.00%","378 / 380
99.47%","0 / 0
NA","5020 / 5031
99.78%","0 / 216
0.00%","0 / 3
0.00%","0 / 224
0.00%","0 / 0
NA","0 / 1
0.00%","0 / 77
0.00%","0 / 380
0.00%","0 / 1
0.00%","0 / 1518
0.00%","0 / 602
0.00%","0 / 139
0.00%","0 / 0
NA","0 / 0
NA","600 / 602
99.67%","225 / 228
98.68%","1253 / 1297
96.61%","0 / 25
0.00%","8 / 7977
0.10%","0 / 0
NA","0 / 379
0.00%"
SRR17786787.fastq.bam,"0 / 182
0.00%","0 / 27
0.00%","181 / 182
99.45%","0 / 0
NA","200 / 201
99.50%","206 / 207
99.52%","0 / 82
0.00%","586 / 624
93.91%","1555 / 1592
97.68%","0 / 22
0.00%","1 / 1
100.00%","2039 / 2102
97.00%","0 / 1397
0.00%","0 / 48
0.00%","1 / 506
0.20%","0 / 7194
0.00%","0 / 11
0.00%","0 / 0
NA","0 / 5435
0.00%","0 / 0
NA","0 / 25
0.00%","181 / 182
99.45%","0 / 0
NA","0 / 380
0.00%","206 / 207
99.52%","588 / 624
94.23%","0 / 8
0.00%","75 / 369
20.33%","0 / 92
0.00%","207 / 211
98.10%","4 / 1725
0.23%","0 / 22
0.00%","0 / 1
0.00%","0 / 62
0.00%","1 / 97
1.03%","0 / 27
0.00%","0 / 0
NA","380 / 382
99.48%","26 / 27
96.30%","3320 / 3327
99.79%","0 / 202
0.00%","0 / 5
0.00%","0 / 207
0.00%","0 / 0
NA","0 / 25
0.00%","0 / 54
0.00%","0 / 382
0.00%","0 / 0
NA","30 / 840
3.57%","0 / 589
0.00%","0 / 1
0.00%","0 / 0
NA","0 / 33
0.00%","587 / 588
99.83%","211 / 212
99.53%","589 / 624
94.39%","0 / 48
0.00%","10 / 7197
0.14%","0 / 0
NA","0 / 381
0.00%"
SRR17786788.fastq.bam,"0 / 352
0.00%","0 / 18
0.00%","302 / 352
85.80%","0 / 0
NA","278 / 278
100.00%","0 / 3
0.00%","0 / 504
0.00%","801 / 847
94.57%","1851 / 1858
99.62%","0 / 191
0.00%","1 / 1
100.00%","2129 / 2226
95.64%","0 / 1428
0.00%","0 / 66
0.00%","0 / 575
0.00%","0 / 4716
0.00%","0 / 3
0.00%","0 / 0
NA","0 / 4701
0.00%","0 / 0
NA","0 / 19
0.00%","302 / 352
85.80%","0 / 0
NA","0 / 365
0.00%","284 / 288
98.61%","844 / 847
99.65%","0 / 21
0.00%","73 / 229
31.88%","0 / 60
0.00%","284 / 294
96.60%","0 / 1329
0.00%","0 / 196
0.00%","0 / 20
0.00%","0 / 87
0.00%","1 / 116
0.86%","0 / 18
0.00%","0 / 1
0.00%","366 / 368
99.46%","18 / 18
100.00%","3194 / 3198
99.87%","0 / 278
0.00%","0 / 9
0.00%","1 / 288
0.35%","0 / 0
NA","0 / 19
0.00%","0 / 113
0.00%","0 / 368
0.00%","0 / 2
0.00%","0 / 1150
0.00%","0 / 652
0.00%","0 / 20
0.00%","0 / 0
NA","0 / 86
0.00%","652 / 652
100.00%","0 / 3
0.00%","804 / 847
94.92%","0 / 66
0.00%","3 / 4716
0.06%","0 / 0
NA","0 / 367
0.00%"
SRR17786789.fastq.bam,"1 / 1677
0.06%","0 / 130
0.00%","1618 / 1677
96.48%","0 / 13
0.00%","616 / 636
96.86%","637 / 664
95.93%","1 / 587
0.17%","968 / 1012
95.65%","2509 / 2605
96.31%","0 / 142
0.00%","0 / 0
NA","1788 / 1848
96.75%","0 / 1329
0.00%","0 / 198
0.00%","2 / 980
0.20%","0 / 3446
0.00%","0 / 6
0.00%","1 / 1
100.00%","18 / 2859
0.63%","0 / 0
NA","0 / 109
0.00%","1618 / 1677
96.48%","0 / 13
0.00%","0 / 1476
0.00%","637 / 664
95.93%","976 / 1013
96.35%","0 / 86
0.00%","149 / 370
40.27%","0 / 123
0.00%","647 / 671
96.42%","5 / 2126
0.24%","0 / 5
0.00%","0 / 124
0.00%","0 / 169
0.00%","0 / 112
0.00%","0 / 130
0.00%","0 / 18
0.00%","1442 / 1480
97.43%","71 / 130
54.62%","4728 / 4739
99.77%","16 / 637
2.51%","0 / 76
0.00%","1 / 664
0.15%","0 / 0
NA","0 / 109
0.00%","0 / 519
0.00%","2 / 1480
0.14%","0 / 0
NA","17 / 1956
0.87%","42 / 2157
1.95%","0 / 124
0.00%","0 / 0
NA","0 / 377
0.00%","2087 / 2146
97.25%","654 / 671
97.47%","976 / 1012
96.44%","0 / 199
0.00%","2 / 3447
0.06%","0 / 14
0.00%","0 / 1477
0.00%"
SRR17786790.fastq.bam,"0 / 1589
0.00%","0 / 126
0.00%","1544 / 1589
97.17%","0 / 7
0.00%","675 / 708
95.34%","730 / 764
95.55%","2 / 623
0.32%","874 / 905
96.57%","3019 / 3218
93.82%","2 / 133
1.50%","2 / 2
100.00%","1837 / 1986
92.50%","0 / 1551
0.00%","0 / 177
0.00%","20 / 949
2.11%","0 / 3968
0.00%","0 / 16
0.00%","0 / 1
0.00%","0 / 4216
0.00%","0 / 0
NA","0 / 113
0.00%","1544 / 1589
97.17%","0 / 7
0.00%","0 / 1
0.00%","746 / 764
97.64%","886 / 905
97.90%","0 / 104
0.00%","181 / 417
43.41%","0 / 131
0.00%","750 / 769
97.53%","15 / 1710
0.88%","0 / 1
0.00%","0 / 138
0.00%","0 / 223
0.00%","1 / 105
0.95%","0 / 128
0.00%","0 / 15
0.00%","1086 / 1136
95.60%","110 / 127
86.61%","4938 / 4976
99.24%","7 / 710
0.99%","0 / 73
0.00%","0 / 764
0.00%","0 / 0
NA","0 / 1
0.00%","0 / 507
0.00%","12 / 1136
1.06%","0 / 3
0.00%","0 / 2090
0.00%","25 / 1948
1.28%","0 / 134
0.00%","0 / 0
NA","0 / 550
0.00%","1874 / 1946
96.30%","744 / 769
96.75%","877 / 905
96.91%","0 / 178
0.00%","7 / 3973
0.18%","0 / 8
0.00%","0 / 1
0.00%"
SRR17786791.fastq.bam,"0 / 740
0.00%","0 / 56
0.00%","728 / 740
98.38%","0 / 5
0.00%","788 / 805
97.89%","810 / 830
97.59%","0 / 367
0.00%","764 / 804
95.02%","3895 / 3920
99.36%","1 / 43
2.33%","0 / 0
NA","1563 / 1605
97.38%","0 / 1696
0.00%","0 / 154
0.00%","24 / 1183
2.03%","0 / 6398
0.00%","0 / 13
0.00%","0 / 0
NA","0 / 5836
0.00%","0 / 0
NA","0 / 55
0.00%","728 / 740
98.38%","0 / 5
0.00%","0 / 939
0.00%","824 / 830
99.28%","774 / 804
96.27%","0 / 139
0.00%","149 / 338
44.08%","0 / 125
0.00%","830 / 835
99.40%","10 / 1933
0.52%","0 / 1
0.00%","0 / 25
0.00%","0 / 143
0.00%","0 / 98
0.00%","0 / 58
0.00%","0 / 2
0.00%","940 / 947
99.26%","51 / 58
87.93%","5849 / 5872
99.61%","1 / 805
0.12%","0 / 35
0.00%","0 / 830
0.00%","0 / 0
NA","0 / 2
0.00%","0 / 240
0.00%","0 / 947
0.00%","0 / 0
NA","13 / 1395
0.93%","1 / 1786
0.06%","0 / 25
0.00%","0 / 0
NA","0 / 381
0.00%","1759 / 1779
98.88%","820 / 834
98.32%","784 / 804
97.51%","0 / 154
0.00%","9 / 6402
0.14%","0 / 5
0.00%","0 / 944
0.00%"
SRR17786792.fastq.bam,"0 / 284
0.00%","0 / 1
0.00%","280 / 284
98.59%","0 / 7
0.00%","462 / 464
99.57%","0 / 8
0.00%","0 / 101
0.00%","966 / 969
99.69%","1975 / 2063
95.73%","22 / 22
100.00%","2 / 2
100.00%","2619 / 2769
94.58%","0 / 2223
0.00%","0 / 76
0.00%","1 / 726
0.14%","0 / 7687
0.00%","0 / 30
0.00%","0 / 0
NA","1 / 7404
0.01%","0 / 0
NA","0 / 2
0.00%","280 / 284
98.59%","0 / 7
0.00%","0 / 611
0.00%","480 / 491
97.76%","967 / 969
99.79%","0 / 30
0.00%","141 / 588
23.98%","0 / 74
0.00%","483 / 495
97.58%","6 / 2173
0.28%","22 / 126
17.46%","0 / 1
0.00%","0 / 89
0.00%","0 / 64
0.00%","0 / 2
0.00%","0 / 2
0.00%","610 / 612
99.67%","1 / 2
50.00%","4246 / 4262
99.62%","0 / 464
0.00%","0 / 13
0.00%","0 / 491
0.00%","0 / 0
NA","0 / 1
0.00%","0 / 81
0.00%","0 / 612
0.00%","0 / 6
0.00%","45 / 1096
4.11%","0 / 1095
0.00%","0 / 1
0.00%","0 / 0
NA","0 / 17
0.00%","1093 / 1094
99.91%","0 / 8
0.00%","968 / 969
99.90%","0 / 77
0.00%","7 / 7689
0.09%","0 / 7
0.00%","0 / 612
0.00%"
SRR17786793.fastq.bam,"1 / 689
0.15%","0 / 39
0.00%","643 / 688
93.46%","0 / 0
NA","337 / 341
98.83%","348 / 350
99.43%","0 / 270
0.00%","1248 / 1290
96.74%","3861 / 3883
99.43%","1 / 178
0.56%","3 / 3
100.00%","3428 / 3538
96.89%","0 / 1985
0.00%","0 / 77
0.00%","0 / 815
0.00%","0 / 7099
0.00%","0 / 11
0.00%","0 / 0
NA","0 / 7080
0.00%","0 / 0
NA","0 / 38
0.00%","643 / 688
93.46%","0 / 0
NA","0 / 465
0.00%","348 / 350
99.43%","1285 / 1291
99.54%","0 / 64
0.00%","0 / 1
0.00%","0 / 113
0.00%","349 / 360
96.94%","3 / 2246
0.13%","0 / 179
0.00%","0 / 39
0.00%","0 / 148
0.00%","0 / 161
0.00%","0 / 39
0.00%","0 / 1
0.00%","464 / 467
99.36%","39 / 39
100.00%","6129 / 6150
99.66%","0 / 341
0.00%","0 / 19
0.00%","0 / 350
0.00%","0 / 0
NA","0 / 38
0.00%","0 / 214
0.00%","1 / 467
0.21%","0 / 1
0.00%","88 / 2767
3.18%","0 / 824
0.00%","0 / 39
0.00%","0 / 0
NA","0 / 50
0.00%","818 / 821
99.63%","360 / 365
98.63%","1251 / 1290
96.98%","0 / 77
0.00%","9 / 7105
0.13%","0 / 0
NA","0 / 467
0.00%"
SRR18036402.fastq.bam,"0 / 3208
0.00%","0 / 1
0.00%","3198 / 3208
99.69%","0 / 0
NA","684 / 684
100.00%","693 / 697
99.43%","0 / 5947
0.00%","0 / 7
0.00%","6924 / 6944
99.71%","5 / 6864
0.07%","0 / 0
NA","987 / 997
99.00%","0 / 487
0.00%","0 / 0
NA","0 / 0
NA","0 / 11108
0.00%","0 / 1
0.00%","0 / 0
NA","0 / 7508
0.00%","0 / 0
NA","0 / 5
0.00%","3198 / 3208
99.69%","0 / 0
NA","0 / 1230
0.00%","695 / 697
99.71%","0 / 7
0.00%","0 / 7
0.00%","0 / 4
0.00%","0 / 0
NA","696 / 711
97.89%","0 / 0
NA","4 / 6861
0.06%","0 / 0
NA","0 / 101
0.00%","0 / 24
0.00%","0 / 5
0.00%","0 / 2
0.00%","1230 / 1263
97.39%","1 / 1
100.00%","6935 / 6950
99.78%","0 / 684
0.00%","0 / 0
NA","1 / 697
0.14%","0 / 0
NA","0 / 5
0.00%","0 / 1741
0.00%","0 / 1263
0.00%","0 / 0
NA","0 / 13
0.00%","0 / 1928
0.00%","0 / 57
0.00%","0 / 0
NA","0 / 0
NA","1928 / 1928
100.00%","709 / 1160
61.12%","0 / 0
NA","0 / 0
NA","12 / 11108
0.11%","0 / 0
NA","0 / 1230
0.00%"
SRR18036403.fastq.bam,"0 / 0
NA","0 / 69
0.00%","0 / 0
NA","0 / 0
NA","0 / 0
NA","9 / 12
75.00%","1 / 1
100.00%","0 / 0
NA","1289 / 1289
100.00%","1 / 1
100.00%","0 / 0
NA","1864 / 1874
99.47%","0 / 32
0.00%","0 / 260
0.00%","0 / 666
0.00%","0 / 12459
0.00%","0 / 0
NA","0 / 0
NA","0 / 3916
0.00%","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 0
NA","1 / 113
0.88%","0 / 5
0.00%","0 / 9
0.00%","0 / 1285
0.00%","0 / 2
0.00%","0 / 3
0.00%","0 / 192
0.00%","0 / 159
0.00%","0 / 43
0.00%","0 / 1
0.00%","0 / 0
NA","0 / 0
NA","1288 / 1288
100.00%","0 / 3
0.00%","0 / 61
0.00%","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 1
0.00%","0 / 0
NA","0 / 1
0.00%","0 / 859
0.00%","0 / 3
0.00%","0 / 3
0.00%","0 / 0
NA","0 / 835
0.00%","0 / 0
NA","9 / 12
75.00%","0 / 0
NA","0 / 260
0.00%","18 / 12459
0.14%","0 / 0
NA","0 / 0
NA"
SRR18036404.fastq.bam,"0 / 486
0.00%","1 / 37
2.70%","481 / 486
98.97%","0 / 0
NA","550 / 553
99.46%","553 / 561
98.57%","0 / 330
0.00%","615 / 617
99.68%","3490 / 3501
99.69%","2 / 8
25.00%","5 / 6
83.33%","1017 / 1029
98.83%","0 / 964
0.00%","0 / 100
0.00%","0 / 489
0.00%","0 / 4807
0.00%","0 / 1
0.00%","0 / 0
NA","0 / 5606
0.00%","0 / 0
NA","0 / 41
0.00%","481 / 486
98.97%","0 / 0
NA","0 / 465
0.00%","555 / 561
98.93%","616 / 617
99.84%","0 / 32
0.00%","115 / 229
50.22%","0 / 32
0.00%","561 / 565
99.29%","0 / 1169
0.00%","0 / 1
0.00%","0 / 42
0.00%","0 / 65
0.00%","0 / 133
0.00%","0 / 38
0.00%","0 / 0
NA","462 / 475
97.26%","37 / 37
100.00%","4684 / 4687
99.94%","0 / 553
0.00%","0 / 12
0.00%","0 / 561
0.00%","0 / 0
NA","0 / 41
0.00%","0 / 138
0.00%","0 / 475
0.00%","0 / 0
NA","0 / 538
0.00%","0 / 1031
0.00%","0 / 40
0.00%","0 / 0
NA","0 / 156
0.00%","1030 / 1031
99.90%","562 / 571
98.42%","615 / 617
99.68%","0 / 100
0.00%","5 / 4809
0.10%","0 / 0
NA","0 / 475
0.00%"
SRR18036405.fastq.bam,"0 / 423
0.00%","0 / 62
0.00%","421 / 423
99.53%","0 / 0
NA","1 / 1
100.00%","868 / 874
99.31%","0 / 932
0.00%","586 / 591
99.15%","6078 / 6158
98.70%","1 / 237
0.42%","14 / 15
93.33%","1979 / 1998
99.05%","0 / 2017
0.00%","0 / 75
0.00%","0 / 637
0.00%","0 / 9267
0.00%","0 / 0
NA","0 / 0
NA","0 / 8302
0.00%","0 / 0
NA","0 / 62
0.00%","421 / 423
99.53%","0 / 0
NA","1 / 469
0.21%","868 / 874
99.31%","588 / 591
99.49%","0 / 184
0.00%","233 / 442
52.71%","0 / 137
0.00%","871 / 880
98.98%","0 / 1415
0.00%","0 / 1
0.00%","0 / 22
0.00%","0 / 104
0.00%","0 / 197
0.00%","0 / 62
0.00%","0 / 0
NA","468 / 473
98.94%","62 / 62
100.00%","7581 / 7587
99.92%","0 / 864
0.00%","0 / 6
0.00%","0 / 874
0.00%","0 / 0
NA","0 / 62
0.00%","0 / 144
0.00%","0 / 473
0.00%","0 / 0
NA","0 / 919
0.00%","0 / 1
0.00%","0 / 22
0.00%","0 / 0
NA","0 / 354
0.00%","1340 / 1349
99.33%","880 / 884
99.55%","586 / 591
99.15%","0 / 75
0.00%","22 / 9269
0.24%","0 / 0
NA","0 / 472
0.00%"
SRR18036406.fastq.bam,"0 / 535
0.00%","0 / 40
0.00%","484 / 535
90.47%","0 / 0
NA","565 / 568
99.47%","575 / 581
98.97%","0 / 671
0.00%","644 / 682
94.43%","3381 / 3442
98.23%","1 / 556
0.18%","4 / 5
80.00%","1281 / 1291
99.23%","0 / 2015
0.00%","0 / 55
0.00%","1 / 464
0.22%","0 / 4818
0.00%","0 / 2
0.00%","0 / 0
NA","0 / 6198
0.00%","0 / 0
NA","0 / 38
0.00%","484 / 535
90.47%","0 / 0
NA","0 / 1
0.00%","575 / 581
98.97%","647 / 682
94.87%","0 / 93
0.00%","118 / 262
45.04%","0 / 94
0.00%","580 / 582
99.66%","1 / 970
0.10%","0 / 555
0.00%","0 / 32
0.00%","0 / 53
0.00%","0 / 110
0.00%","0 / 41
0.00%","0 / 0
NA","365 / 370
98.65%","40 / 40
100.00%","4426 / 4431
99.89%","0 / 568
0.00%","0 / 17
0.00%","1 / 581
0.17%","0 / 0
NA","0 / 38
0.00%","0 / 179
0.00%","1 / 370
0.27%","0 / 0
NA","0 / 473
0.00%","0 / 952
0.00%","0 / 32
0.00%","0 / 0
NA","0 / 330
0.00%","935 / 950
98.42%","582 / 586
99.32%","645 / 682
94.57%","0 / 55
0.00%","6 / 4818
0.12%","0 / 0
NA","0 / 1
0.00%"
SRR18036407.fastq.bam,"0 / 175
0.00%","0 / 1
0.00%","174 / 175
99.43%","0 / 0
NA","101 / 105
96.19%","104 / 109
95.41%","0 / 752
0.00%","520 / 527
98.67%","4236 / 4243
99.84%","0 / 0
NA","15 / 17
88.24%","1881 / 1903
98.84%","0 / 939
0.00%","0 / 23
0.00%","1 / 754
0.13%","0 / 9839
0.00%","0 / 5
0.00%","0 / 0
NA","0 / 14814
0.00%","0 / 0
NA","0 / 2
0.00%","174 / 175
99.43%","0 / 0
NA","0 / 69
0.00%","104 / 109
95.41%","525 / 527
99.62%","0 / 25
0.00%","132 / 387
34.11%","0 / 81
0.00%","109 / 116
93.97%","1 / 958
0.10%","0 / 0
NA","0 / 0
NA","0 / 52
0.00%","0 / 103
0.00%","0 / 1
0.00%","0 / 0
NA","69 / 73
94.52%","1 / 1
100.00%","5216 / 5221
99.90%","0 / 105
0.00%","0 / 2
0.00%","0 / 109
0.00%","0 / 0
NA","0 / 2
0.00%","0 / 47
0.00%","0 / 73
0.00%","0 / 1
0.00%","0 / 892
0.00%","0 / 178
0.00%","0 / 0
NA","0 / 0
NA","0 / 0
NA","178 / 178
100.00%","116 / 122
95.08%","522 / 527
99.05%","0 / 23
0.00%","17 / 9841
0.17%","0 / 0
NA","0 / 73
0.00%"
